OBJECTID,SALID1,L1Name,Country,BEC_CityCenterLong,BEC_CityCenterLat
1,101101,Bahia Blanca,Argentina,-62.264016,-38.718223
2,101112,Buenos Aires,Argentina,-58.373889,-34.608031
3,101106,Catamarca,Argentina,-65.777359,-28.477245
4,101110,Comodoro Rivadavia,Argentina,-67.476494,-45.86172
5,101113,Concordia,Argentina,-58.017138,-31.396802
6,101107,Cordoba,Argentina,-64.190987,-31.415985
7,101111,Corrientes,Argentina,-58.835526,-27.464321
8,101115,Formosa,Argentina,-58.163948,-26.181153
9,101116,Jujuy,Argentina,-65.293892,-24.195872
10,101118,La Rioja,Argentina,-66.851753,-29.412783
11,101103,Mar del Plata,Argentina,-57.549665,-37.99725
12,101119,Mendoza,Argentina,-68.843182,-32.897864
13,101122,Neuquen-Plottier-Cipolletti,Argentina,-68.059556,-38.951666
14,101114,Parana,Argentina,-60.528774,-31.732641
15,101121,Posadas,Argentina,-55.891259,-27.366589
16,101133,Rawson-Trelew,Argentina,-65.105014,-43.299926
17,101109,Resistencia,Argentina,-58.980533,-27.454062
18,101108,Rio Cuarto,Argentina,-64.346824,-33.123205
19,101134,Rio Gallegos,Argentina,-69.217391,-51.623157
20,101126,Rosario,Argentina,-60.632393,-32.947055
21,101124,Salta,Argentina,-65.410084,-24.783074
22,101123,San Carlos de Bariloche,Argentina,-71.310207,-41.133497
23,101128,San Juan,Argentina,-68.51715,-31.537043
24,101129,San Luis,Argentina,-66.33673,-33.304542
25,101132,San Miguel de Tucuman-Tafi Viejo,Argentina,-65.204867,-26.830028
26,101104,San Nicolas de los Arroyos,Argentina,-60.214527,-33.330163
27,101120,San Rafael,Argentina,-68.331121,-34.612507
28,101127,Santa Fe,Argentina,-60.712366,-31.649871
29,101117,Santa Rosa,Argentina,-64.290596,-36.621094
30,101125,Santiago del Estero,Argentina,-64.260512,-27.787082
31,101105,Tandil,Argentina,-59.136736,-37.329808
32,101130,Villa Mercedes,Argentina,-65.461657,-33.67459
33,101135,Zarate-Campana,Argentina,-59.02473,-34.09523
34,102106,Alagoinhas,Brasil,-38.424552,-12.137602
35,102124,Anapolis,Brasil,-48.950958,-16.33014
36,102179,Angra dos Reis,Brasil,-44.319372,-23.008859
37,102160,Apucarana,Brasil,-51.467709,-23.553754
38,102253,Aracaju,Brasil,-37.072,-10.911
